token_id,exchange_id,contract
39fabb88-ea81-44b0-bcee-d635981d8eff,5b50ccdd-9084-4447-af25-e01a4281b83f,KT1RyjnbuY3WNqQ29jarPynBQMqa5JyvQNbA
20b5ec28-23c1-46fc-9760-261fd75eee54,5b50ccdd-9084-4447-af25-e01a4281b83f,KT1Ap7YfZAstC8sbnE6Kwm9iywt13NjwRrNB
0450c57f-5a6f-42ab-bcad-3a25f72cbad9,5b50ccdd-9084-4447-af25-e01a4281b83f,KT1K8A8DLUTVuHaDBCZiG6AJdvKJbtH8dqmN
4e5a45d3-7a7f-4506-bd5f-d6a85c6be6a3,5b50ccdd-9084-4447-af25-e01a4281b83f,KT1B7NqoQQkALYPS9fdxrcjGMQST6Wv4yy3h
aa67af67-fc4a-43bf-a5ea-082bd7c65dee,5b50ccdd-9084-4447-af25-e01a4281b83f,KT1HxVswgLnUUjuSsAi3fC4TxR9p7YuRGjL2
d8701381-42ab-4789-9fe9-3b3b1a9cd50d,5b50ccdd-9084-4447-af25-e01a4281b83f,KT1DgbAE84xno2wdaEgeYpZkFZMs5fskAgP7
86bd09ec-2b6a-47c3-87ce-756962625393,5b50ccdd-9084-4447-af25-e01a4281b83f,KT1GxaBbv4tNyAYr6TiRKfVcpyFPjz1hurXF
ffca8abf-0e62-41c2-96df-14fc780a23e9,5b50ccdd-9084-4447-af25-e01a4281b83f,KT1CgC7Lq4YyMK27ZCULQk4YxNxq2zyeWNy1
4ab6e716-33ab-46ea-923b-9b017db1a95c,5b50ccdd-9084-4447-af25-e01a4281b83f,KT1Qkma5Tu5mcsK1GXoDm2ymjvWrBgSnfpKV
a41d49b9-65eb-4a24-becc-b0be1297f746,5b50ccdd-9084-4447-af25-e01a4281b83f,KT1HrE1bAhgYhCNL6aKkscHTN3Ps6DidkBDi
5ab781a1-39e6-46b4-942c-8445eb221484,5b50ccdd-9084-4447-af25-e01a4281b83f,KT1WREc3cpr36Nqjvegr6WSPgQKwDjL7XxLN
242b508a-85fc-4556-b7fb-0e2a22eb300f,5b50ccdd-9084-4447-af25-e01a4281b83f,KT1PiXcVdqgsaYnkQ7KAec9skLRMtmDcsnMy
b7a5dc8f-70e9-4e8c-812d-3907d7da0910,5b50ccdd-9084-4447-af25-e01a4281b83f,KT1NeBbCRpN9hYzToVMFMVVdDoqGHXDK7sNX
49ef2fdf-2c2d-40b6-a80e-e54a63924795,5b50ccdd-9084-4447-af25-e01a4281b83f,KT1XqWG7VS4MkEuCpJNyobGQkN8L3uvf5gUB
c0da6c47-66dc-4180-ada8-dc73726b0b47,5b50ccdd-9084-4447-af25-e01a4281b83f,KT1EWESqA7ZrHg9eLeioaGP84ETN9rpgnLKW
0dd54cf2-f75a-4810-a4e9-c1e2bf07049e,5b50ccdd-9084-4447-af25-e01a4281b83f,KT1DZuoqhhA6rcViB4seqDbjYDgr3UfCFNt3
4013fb50-13c3-4ecb-81b3-72fcf58831bb,5b50ccdd-9084-4447-af25-e01a4281b83f,KT19Koy81QJLtghfSsDMLTmwj9myESNTbUaS
