address,symbol,decimals,address_quipuswap,kind,thumbnail_uri,active,name,description,homepage
KT1KEsRsSMvSkgZ9CwYy5fPA1e4j3TEpuiKK_0,WEED,8,KT1TYjt5eLHRx3nQpSfaR94oQ6vehu24vvSQ,FA2,https://ibb.co/4j1y6dX,t,Weed,Tezos' first weed toke(n) - Come get your toke(n) and pass the joint.,
KT18fp5rcTW7mbWDmzFwjLDUhs5MeJmagDSZ_10,wLINK,18,KT1Lpysr4nzcFegC9ci9kjoqVidwoanEmJWt,FA2,https://ipfs.io/ipfs/QmeaRuB578Xgy8jxbTxqmQ9s5wyioAEP85V7qbJFnn2uT8,t,Wrapped LINK,,
KT18fp5rcTW7mbWDmzFwjLDUhs5MeJmagDSZ_14,wPAX,18,KT1Ca5FGSeFLH3ugstc5p56gJDMPeraBcDqE,FA2,https://ipfs.io/ipfs/QmZD5QDAeAUyyLYKiMmxD4vfWpVeYHctcbTkPmo4NudDHt,t,Wrapped PAX,,
KT18fp5rcTW7mbWDmzFwjLDUhs5MeJmagDSZ_19,wWBTC,8,KT1DksKXvCBJN7Mw6frGj6y6F3CbABWZVpj1,FA2,https://ipfs.io/ipfs/Qmdj6n9T48LDWex8NkBMKUQJfZgardxZVdtRRibYQVzLCJ,t,Wrapped WBTC,,
KT1V5yCUQ73nUjrbk82ALcrGNdRFNk3k2tvX_0,PKA,3,KT1BAPAVXMuYz63HrF9CGM9Gu8JVYTFpYqao,FA2,https://ipfs.io/ipfs/QmVAgWXYepnwEefk8jn4mFZkwvZZ7pTPCPELKgkRkZgk9i,t,Paprika,,
KT1GMM54j7d8chfEitzUNJ2rrsA9Rs1zGBmK_0,GHST,6,KT1X6MJFtzypK6yuMXzg4KQ9FJAccH8PazKz,FA2,https://ipfs.io/ipfs/QmNo5dyUEzJsVRYaqRHLsPq8K1JzJ6TcZvPQzyAvZ71Nit?filename=ghostlogo.PNG,t,GHOSTChain,Ghost token is a community meme token created in memory of all the unbelievers in Tezos. Use at own risk.,
KT1G1cCRNBgQ48mVDjopHjEmTN5Sbtar8nn9,HEH,6,KT1BgezWwHBxA9NrczwK9x3zfgFnUkc7JJ4b,FA1.2,https://ipfs.io/ipfs/QmXL3FZ5kcwXC8mdwkS1iCHS2qVoyg69ugBhU2ap8z1zcs,t,Hedgehoge,,
KT1Qf46j2x37sAN4t2MKRQRVt9gc4FZ5duMs_0,sVote,0,KT1VcUfNTWM8565RNLnwzmJRVHUNbZBKUtcj,FA2,https://cloudflare-ipfs.com/ipfs/QmQra8QK4zdE3vC7NZ5yyNsa7kP9Zjw3eMDiWoTBzAS9n3,t,sDAO Vote,,
KT1TxyzQh7AqVHjjnPAAakuBwiCaWvVLp2pT_0,TACOS,2,KT1ERtmznJQj4JpX7q6dN3JLJXaDTnZkD7e4,FA2,https://ipfs.io/ipfs/QmRTWJ57ytvM4USQRtUC1ujXAncMJNUrUAMsFqjEKhKmcb/,t,Tacos,The original taco.,
KT1JS6RrhJSbJhuYTdpUr8RA577gGrkbLj7E_0,RVN,18,KT1U21k5fMPxeZwj7ogASXyAwUHVT89U9X2S,FA2,https://imgpile.com/images/NnJ082.png,t,Raven,"Ravens black On wings of night, Nine worlds circled In their flight, One-eyed Father Hears their call, Tidings brought To Asgard's hall. Thought as fast As lightning's flash, Memory old As sacred Ash, Huginn and Muninn See and hear, Whisper all In Odin's ear... ",
